name,play_for_free,top_seller,deal,history,discount,price,rating,ends in,started,release,lowest_price
MELTY BLOOD: TYPE LUMINA,yes,no,,new historical low,0.5,46.99,0.8479000000000001,in 12 days,2 days ago,2021-09-01,46.99
Two Point Campus,yes,no,,new historical low,0.5,77.75,0.8342,in 12 days,2 days ago,2022-08-01,77.75
FOR HONOR™,yes,no,,,0.8,8.99,0.6864,in 5 days,2 days ago,2017-02-01,
Shadows of Doubt,no,yes,,new historical low,0.2,47.99,0.8814,in 12 days,2 days ago,2023-04-01,47.99
Deadlink,no,yes,Daily Deal,new historical low,0.25,28.49,0.8706,in 6 days,2 days ago,2023-07-01,28.49
Half-Life: Alyx,no,yes,Weekend Deal,not the lowest price,0.66,55.08,0.9678,in 5 days,2 days ago,2020-03-01,54.99
Lost in Play,no,no,Daily Deal,new historical low,0.5,25.0,0.9394,in 13 days,yesterday,2022-08-01,25.0
Mini Motorways,no,no,Midweek Deal,new historical low,0.25,15.51,0.9347,in 2 days,5 days ago,2021-07-01,15.51
Heavenly Bodies,no,no,Daily Deal,new historical low,0.5,18.99,0.9161,in 4 days,3 days ago,2021-12-01,18.99
Assassin's Creed® Odyssey,no,yes,,,0.8,35.99,0.8809999999999999,in 2 days,5 days ago,2018-10-01,
Assassin's Creed® Origins,no,yes,,,0.85,26.99,0.8534999999999999,in 2 days,5 days ago,2017-10-01,
Gas Guzzlers Extreme,no,no,Daily Deal,new historical low,0.9,6.39,0.8306999999999999,in 3 days,4 days ago,2013-10-01,6.39
Doki Doki Literature Club Plus!,no,no,Midweek Deal,,0.33,19.42,0.9443,in 2 days,5 days ago,2021-06-01,
Trepang2,no,no,,new historical low,0.1,98.1,0.9051,in 9 days,5 days ago,2023-06-01,98.1
Gloomwood,no,no,,new historical low,0.25,28.49,0.904,in 2 days,5 days ago,2022-09-01,28.49
CaseCracker,no,no,Daily Deal,,0.3,14.48,0.897,in 2 days,5 days ago,2022-12-01,
Red Dead Redemption 2,no,yes,,not the lowest price,0.67,98.96,0.8964,in 5 days,9 days ago,2019-12-01,78.87
HELLO LADY!,no,no,,new historical low,0.64,20.87,0.8937999999999999,in 8 days,7 hours ago,2018-06-01,20.87
"Warhammer 40,000: Boltgun",no,no,Weekend Deal,,0.2,63.92,0.8919,in 5 days,2 days ago,2023-05-01,
A Plague Tale: Requiem,no,no,Weekend Deal,,0.5,84.95,0.8915000000000001,in 2 days,9 days ago,2022-10-01,
Sifu,no,no,,new historical low,0.33,50.91,0.8896999999999999,in 7 days,6 hours ago,2023-03-01,50.91
Amnesia: The Bunker,no,no,Week Long Deal,new historical low,0.15,62.89,0.8894,in 2 days,5 days ago,2023-06-01,62.89
Aonatsu Line,no,no,,new historical low,0.35,42.89,0.8873000000000001,in 8 days,7 hours ago,2022-12-01,42.89
Assassin's Creed 2,no,yes,,not the lowest price,0.75,14.99,0.8795999999999999,in 2 days,5 days ago,2010-03-01,9.99
Assassin’s Creed® IV Black Flag™,no,yes,,not the lowest price,0.7,35.99,0.8789,in 2 days,5 days ago,,7.99
Intravenous,no,no,,new historical low,0.66,8.49,0.8736,in 2 days,5 days ago,2021-07-01,8.49
Assassin’s Creed® Brotherhood,no,yes,,not the lowest price,0.75,14.99,0.8684999999999999,in 2 days,5 days ago,2011-03-01,9.99
Lost in Random™,no,no,,new historical low,0.85,22.35,0.865,in 12 days,2 days ago,2021-09-01,22.35
Aliens: Dark Descent,no,no,,new historical low,0.2,111.92,0.86,in 5 days,2 days ago,2023-06-01,111.92
Let's School,no,no,Introductory Offer,new historical low,0.1,53.99,0.8561,in 4 days,3 days ago,2023-07-01,53.99
Drug Dealer Simulator,no,no,,new historical low,0.77,8.73,0.8531,in 6 days,8 days ago,2020-04-01,8.73
Call of Duty®: Black Ops II,no,yes,,not the lowest price,0.67,36.29,0.8472,in 5 days,2 days ago,2012-11-01,33.99
Sanfu,no,no,Introductory Offer,new historical low,0.1,32.21,0.8441,in 5 days,2 days ago,2023-07-01,32.21
Assassin’s Creed® Rogue,no,yes,,not the lowest price,0.7,17.99,0.8281999999999999,in 2 days,5 days ago,2015-03-01,13.19
Conscious Existence - A Journey Within,no,no,,new historical low,0.75,2.72,0.8239,in 2 days,5 days ago,2019-06-01,2.72
F1® 23,no,no,,new historical low,0.4,287.4,0.8212999999999999,in 3 days,11 days ago,2023-06-01,287.4
HITMAN 3,no,yes,,not the lowest price,0.5,94.49,0.8204,in 2 days,5 days ago,2022-01-01,87.15
Assassin's Creed™: Director's Cut Edition,no,yes,,not the lowest price,0.75,14.99,0.8193,in 2 days,5 days ago,2008-04-01,9.99
Call of Duty®: Black Ops III,no,yes,,not the lowest price,0.67,65.96,0.8158,,,2015-11-01,19.43
Hunt: Showdown,no,yes,Weekend Deal,,0.6,35.6,0.8154,,,2019-08-01,
Sniper Elite 3,no,no,,new historical low,0.9,5.59,0.8068000000000001,,,2014-06-01,5.59
Assassin's Creed® Syndicate,no,yes,,,0.75,22.49,0.7887000000000001,,,2015-11-01,
Assassin's Creed® Unity,no,yes,,not the lowest price,0.75,22.49,0.759,,,2014-11-01,13.49
Call of Duty®: Black Ops Cold War,no,yes,,,0.67,82.17,0.7587,,,2023-03-01,
Assassin's Creed Freedom Cry,no,yes,,not the lowest price,0.75,11.24,0.7354999999999999,,,2014-02-01,8.74
Assassin's Creed Valhalla,no,yes,,,0.75,49.99,0.6433,,,2022-12-01,
Call of Duty®: Modern Warfare® II,no,yes,,,0.45,164.94,0.5992999999999999,,,2022-10-01,
Assassin's Creed® III Remastered,no,yes,,,0.75,29.99,0.5726,,,2019-03-01,
Resident Evil 2,no,no,,,0.75,34.97,0.9584,,,2019-01-01,
Broforce,no,no,Daily Deal,not the lowest price,0.8,9.39,0.9526,,,2015-10-01,4.99
Resident Evil Village,no,no,,,0.5,69.95,0.9431999999999999,,,2021-05-01,
Black Mesa,no,no,,,0.75,9.24,0.9398000000000001,,,2020-03-01,
Mini Metro,no,no,Midweek Deal,not the lowest price,0.5,9.99,0.9359999999999999,,,2015-11-01,4.99
Untitled Goose Game,no,no,,,0.5,18.99,0.9323999999999999,,,2020-09-01,
Detroit: Become Human,no,no,Week Long Deal,,0.5,67.49,0.9288,,,2020-06-01,
Mark of the Ninja: Remastered,no,no,,,0.6,15.19,0.9283,,,2018-10-01,
Borderlands 2,no,no,,not the lowest price,0.75,11.24,0.9279000000000001,,,2012-09-01,11.18
Rise of the Tomb Raider™,no,no,,,0.8,17.0,0.9265000000000001,,,2016-02-01,
Little Nightmares II,no,no,,,0.67,42.05,0.9247,,,2021-02-01,
Insomnia: Theater in the Head,no,no,,,0.2,6.99,0.9246,,,2022-12-01,
PAC-MAN™ Championship Edition DX+,no,no,Week Long Deal,,0.75,4.24,0.9245,,,2013-09-01,
Deus Ex: Game of the Year Edition,no,no,,,0.86,1.81,0.9229,,,2000-06-01,
A Plague Tale: Innocence,no,no,,,0.8,25.98,0.9190999999999999,,,2019-05-01,
The Procession to Calvary,no,no,,,0.55,9.31,0.917,,,2020-04-01,
The Coma 2: Vicious Sisters,no,no,,,0.8,5.79,0.9168000000000001,,,2020-01-01,
Heat Signature,no,no,,,0.8,5.59,0.9159,,,2017-09-01,
Roadwarden,no,no,,,0.33,18.28,0.9147,,,2022-09-01,
Resident Evil 4 (2005),no,no,,,0.75,9.99,0.9126000000000001,,,2014-02-01,
DR LIVESEY ROM AND DEATH EDITION,no,no,,,0.71,0.66,0.9123,,,2023-02-01,
Dead Estate,no,no,,,0.4,10.79,0.9087999999999999,,,2021-10-01,
SteamWorld Heist,no,no,,,0.9,2.89,0.9075,,,2016-06-01,
SteamWorld Dig,no,no,,,0.9,2.06,0.9065000000000001,,,2013-12-01,
Touhou Endless Dream,no,no,,,0.3,11.61,0.9036,,,2021-11-01,
My Vow to My Liege,no,no,,,0.35,13.44,0.9035,,,2020-09-01,
Deus Ex: Human Revolution - Director's Cut,no,no,,,0.85,5.24,0.9017000000000001,,,2013-10-01,
100 hidden cats,no,no,Week Long Deal,,0.7,0.68,0.8993000000000001,,,2021-04-01,
Priest Simulator,no,no,,,0.31,26.21,0.8987999999999999,,,2022-10-01,
Timelie,no,no,,,0.5,17.49,0.8976000000000001,,,2020-05-01,
Thief™ II: The Metal Age,no,no,,,0.86,1.81,0.8969,,,2000-03-01,
Mass Effect™ Legendary Edition,no,no,,,0.75,62.25,0.8969,in 12 days,2 days ago,2021-05-01,
Killer Frequency,no,no,,,0.2,71.2,0.8946999999999999,in 2 days,12 days ago,2023-06-01,
Hidden Through Time,no,no,Week Long Deal,,0.5,8.49,0.8939,in 2 days,5 days ago,2020-03-01,
Xuan-Yuan Sword: The Scar of Sky,no,no,,,0.3,27.3,0.8926000000000001,,4 days ago,2021-08-01,
Sniper Elite 4,no,no,,,0.9,10.59,0.8922,in 2 days,5 days ago,2017-02-01,
UnMetal,no,no,,,0.6,22.0,0.8920999999999999,in 2 days,5 days ago,2021-09-01,
Pumpkin Jack,no,no,,,0.7,17.39,0.8903,in 14 days,6 hours ago,2020-10-01,
Dead Space,no,no,,,0.3,174.3,0.8892,in 12 days,2 days ago,2023-01-01,
Broken Reality,no,no,Week Long Deal,,0.75,7.24,0.8891,in 2 days,5 days ago,2018-11-01,
Crimson Snow (2023),no,no,Week Long Deal,,0.21,11.44,0.8876999999999999,in 2 days,5 days ago,2023-03-01,
Thief™ Gold,no,no,,,0.86,1.81,0.8856,in 2 days,5 days ago,1998-11-01,
Lacuna – A Sci-Fi Noir Adventure,no,no,,,0.75,7.74,0.884,in 14 days,6 hours ago,2021-05-01,
The Witcher 2: Assassins of Kings Enhanced Edition,no,no,,,0.85,5.54,0.8824,in 8 days,2 days ago,2011-05-01,
Dragon's Dogma: Dark Arisen,no,no,,,0.84,11.99,0.882,in 9 days,5 days ago,2016-01-01,
Lara Croft and the Guardian of Light,no,no,,,0.85,2.54,0.8812000000000001,in 14 days,6 hours ago,2010-09-01,
Midnight Castle Succubus DX,no,no,Week Long Deal,,0.25,20.16,0.8809,in 2 days,5 days ago,2020-09-01,
Clash: Artifacts of Chaos,no,no,Daily Deal,,0.25,66.74,0.8806,in 18 hours,6 days ago,2023-03-01,
